,Attr2,Attr8,Attr9,Attr10,Attr15,Attr16,Attr17,Attr22,Attr26,Attr27,Attr34,Attr46,Attr64,class
2430,0.36298,1.7218,1.2161,0.62496,280.3,1.3022,2.755,0.37604,1.1167,2.2018,1.036,0.23325,2.8927,0
2432,0.58242,0.71696,1.6454,0.41758,1216.9,0.29993,1.717,0.17302,0.24047,10.488,2.443,1.6334,10.831,0
2433,0.31762,2.1406,1.0122,0.6799,2692.3,0.13557,3.1484,0.011933,0.13557,0.11355,0.03757,0.57312,1.7018,0
2440,0.21535,3.6436,1.2344,0.78465,226.97,1.6081,4.6436,0.2407,1.3634,35.359,4.6372,4.213,3.6639,0
2442,0.16822,4.9447,1.6182,0.83178,285.81,1.2771,5.9447,0.13185,1.2771,13.316,8.8066,2.8744,3.6532,0
2444,0.62565,0.37932,0.9549,0.23732,4237.4,0.086137,1.5983,0.010235,0.079734,0.1277,0.016359,0.54725,1.0864,0
2446,0.15914,5.2839,0.80319,0.84086,237.95,1.534,6.2839,0.21676,1.534,53.676,3.6903,0.69617,0.91138,0
2448,0.47228,1.1134,1.097,0.52585,630.3,0.57909,2.1174,0.20357,0.48812,0.97354,0.43104,0.90029,2.9566,0
2451,0.73509,0.36038,1.969,0.26491,7055.6,0.051732,1.3604,0.0,0.051732,0.0,2.3459,0.67401,3.6384,0
2460,0.12324,7.1145,1.1046,0.87676,267.18,1.3661,8.1145,0.14267,1.1308,4.7069,7.9938,4.4207,3.8723,0
2461,0.8692,0.15049,0.98138,0.1308,3054.1,0.11951,1.1505,0.12363,0.11282,1.1944,1.0447,1.0793,1.3649,0
2462,0.68288,0.46439,0.48748,0.31712,-1514.7,-0.24098,1.4644,-0.13455,-0.24098,-2.4442,0.93201,0.08932,0.56567,0
2464,0.57987,0.72452,0.98556,0.42013,-16173.0,-0.022568,1.7245,0.028503,-0.0042306,0.34977,1.4628,0.74993,1.3554,0
2465,1.3067,-0.25737,0.537,-0.3363,-998.75,-0.36546,0.76528,-0.40332,-0.36546,-4.8812,-0.30865,0.32596,0.57394,0
2466,0.28701,2.4842,1.3901,0.71299,481.03,0.75879,3.4842,0.14973,0.65489,4.5298,4.3209,2.4193,4.4389,0
2471,0.42328,1.3625,2.4684,0.57672,2690.7,0.13565,2.3625,-0.013819,0.13565,-0.72453,5.869,0.55892,3.3101,0
2473,0.51539,0.94028,2.7789,0.48461,2245.5,0.16255,1.9403,0.050836,0.14198,5.7787,5.2601,0.89776,6.0614,0
2474,0.59249,0.68778,1.7245,0.40751,991.54,0.36811,1.6878,0.22997,0.30721,4.9744,2.5062,0.91058,3.3646,0
2475,0.85725,0.16652,2.1676,0.14275,5101.0,0.071555,1.1665,0.079346,0.066094,1.207,2.4445,0.56918,3.6039,0
2476,0.86547,0.15544,1.1174,0.13453,2364.2,0.15439,1.1554,0.0,0.15439,0.0,0.87357,0.2948,1.576,0
2477,0.85843,0.16492,1.7946,0.14157,12233.0,0.029837,1.1649,-0.023422,0.026705,-0.41286,2.1964,0.40307,3.226,0
2480,0.53205,0.87951,3.179,0.46795,1198.9,0.30444,1.8795,0.0090158,0.29585,0.76877,6.0004,1.2496,12.022,0
2481,0.43533,1.2886,1.0515,0.56096,1060.6,0.34414,2.2971,0.12915,0.29368,0.3898,0.29668,1.2653,25.833,0
2486,0.66996,0.49263,2.5164,0.33004,1549.5,0.23556,1.4926,0.11002,0.194,17.667,3.5732,1.1493,10.63,0
2487,0.87844,0.13544,0.99777,0.11898,4244.1,0.086002,1.1384,0.011812,0.083417,0.16493,0.013447,0.83904,1.1857,0
2488,0.22088,3.5273,1.4938,0.77912,1540.0,0.23701,4.5273,0.0,0.23701,0.0,5.2812,2.9956,3.5936,0
2489,0.32601,2.0674,0.94757,0.67399,545.48,0.66914,3.0674,0.1287,0.58681,13.934,2.558,1.4931,1.9754,0
2494,0.22766,3.3926,2.4984,0.77234,266.06,1.3719,4.3926,0.24883,2.2336,18.431,10.249,2.3418,4.5008,0
2495,0.35017,1.8558,1.2661,0.64983,304.7,1.1979,2.8558,0.37595,1.065,147.13,2.5959,1.7612,2.2503,0
2497,0.27902,2.5839,0.32378,0.72098,2046.4,0.17836,3.5839,0.033286,0.15303,1.5525,1.1176,0.47235,0.43844,0
2498,0.49798,1.0081,2.2125,0.50202,1053.6,0.34644,2.0081,0.15511,0.28166,48.456,4.1335,1.299,3.7591,0
2502,0.72809,0.26748,1.0227,0.19475,5621.1,0.064934,1.3735,0.073429,0.064934,0.5028,0.10085,0.70415,3.6227,0
2508,0.31789,2.1457,1.0933,0.68211,693.45,0.52635,3.1457,0.11614,0.4575,0.93497,0.36535,0.99655,2.7334,0
2509,0.76804,0.30201,3.1765,0.23196,3514.6,0.10385,1.302,0.048497,0.09276,3.2543,4.0741,0.86074,12.725,0
2511,0.83858,0.19249,4.5319,0.16142,4194.6,0.087016,1.1925,0.068532,0.087016,5.0661,5.3463,0.94469,24.954,0
2513,0.11863,7.4292,1.1056,0.88137,225.88,1.6159,8.4292,0.1462,1.6108,0.088522,1.2324,3.8574,4.503,0
2514,0.4742,1.1088,1.5936,0.5258,16391.0,0.022268,2.1088,0.0,0.022268,0.0,2.5028,0.41479,2.1834,0
2518,0.42186,1.3705,1.3371,0.57814,507.35,0.71942,2.3705,0.0,0.71942,0.0,1.2671,0.84998,2.3654,0
2519,0.27082,2.6535,1.307,0.7186,163.6,2.2311,3.6925,0.58591,1.8291,3.0385,2.1635,1.9971,8.9083,0
2523,0.27435,2.6097,1.0998,0.71597,621.19,0.58758,3.645,0.083596,0.43459,0.83923,0.30471,2.0734,4.5481,0
2525,0.056359,16.743,1.4808,0.94364,146.2,2.4966,17.743,0.092799,2.1591,44.867,24.804,10.825,4.0533,0
2528,0.35769,1.7957,0.89538,0.64231,562.74,0.64861,2.7957,0.19905,0.64861,16.733,1.9751,0.83082,1.362,0
2530,0.56221,0.55731,1.0173,0.31333,-627.16,-0.58199,1.7787,0.018713,-0.58199,0.32422,0.033284,0.63191,0.65256,0
2531,0.25466,2.4472,0.98491,0.62321,2713.8,0.1345,3.9267,-0.057165,0.1361,-0.43374,-0.22447,1.3758,2.2988,0
2532,0.44894,1.2275,1.0029,0.55106,2717.8,0.1343,2.2275,0.0012982,0.1343,0.11334,1.6425,0.77482,2.0469,0
2533,0.29691,2.0708,1.0076,0.61486,867.02,0.42098,3.368,0.02827,0.40714,0.21501,0.095212,1.197,2.4924,0
2535,0.69153,0.3854,1.0499,0.26651,10063.0,0.036272,1.4461,0.074253,0.038034,0.48712,0.10738,0.36907,2.4739,0
2536,0.32456,2.0578,0.97915,0.66789,2233.1,0.16345,3.0811,-0.00692,0.18679,-0.094454,-0.021321,1.271,0.94724,0
2539,1.1333,-0.11761,1.4902,-0.13329,-1553.1,-0.23501,0.88239,-0.12795,-0.23501,-0.87755,1.4109,0.7644,25.59,0
2540,0.38857,1.5735,1.9708,0.61143,564.11,0.64704,2.5735,0.10411,0.64076,3.8728,4.8257,1.1515,3.6826,0
2541,0.47305,0.92766,1.1222,0.43883,881.64,0.414,2.1139,0.13336,0.36797,1.5713,0.28191,0.63013,1.5648,0
2542,0.69825,0.43215,1.751,0.30175,4761.2,0.076661,1.4321,0.045021,0.076082,1.0227,2.4486,0.54572,3.426,0
2543,0.60176,0.6618,1.3287,0.39824,6805.4,0.053634,1.6618,0.028797,0.052357,0.5451,2.1223,0.71972,2.9598,0
2545,0.58835,0.66115,1.0145,0.38899,2843.4,0.12837,1.6997,0.031952,0.1274,0.38768,0.054308,0.5798,1.4009,0
2546,0.69207,0.37607,0.9764,0.26027,-6227.7,-0.058609,1.4449,-0.050737,-0.029902,-0.33072,-0.073311,0.489,2.5451,0
2549,0.33445,1.9143,1.0636,0.64024,621.65,0.58715,2.99,0.092911,0.53468,0.80363,0.2778,1.3263,2.8087,0
2552,0.56654,0.76509,2.2049,0.43346,1178.4,0.30973,1.7651,0.087158,0.28702,3.2545,3.708,0.93402,3.8889,0
2553,0.64221,0.51487,1.0447,0.33066,2402.5,0.15192,1.5571,0.073513,0.14338,0.48185,0.11447,0.52238,2.6752,0
2554,0.55993,0.78592,2.7908,0.44007,1183.8,0.30833,1.7859,0.15769,0.25848,6.6987,4.7322,1.1035,14.34,0
2555,0.68675,0.45613,2.7157,0.31325,1042.7,0.35004,1.4561,0.16507,0.3065,5.1332,4.0436,0.98681,4.0088,0
2556,0.95664,0.045323,3.9779,0.043358,-69099.0,-0.0052823,1.0453,0.0,-0.0052823,0.0,3.9699,0.66862,28.916,0
2557,0.65741,0.52112,1.4569,0.34259,1345.1,0.27136,1.5211,0.059415,0.25678,1.9011,2.1508,0.84157,2.4754,0
2559,0.37247,1.6848,2.4178,0.62753,947.68,0.38515,2.6848,0.10229,0.32263,9.8292,6.2279,1.0388,6.0765,0
2562,0.89869,0.11273,3.1492,0.10131,10376.0,0.035178,1.1127,0.0,0.035178,0.0,2.556,0.78129,45.68,0
2564,0.28249,2.5399,1.7054,0.71751,457.69,0.79748,3.5399,0.24094,0.64045,5.4588,5.2213,1.5061,3.8317,0
2565,0.2411,3.1476,1.1487,0.7589,418.88,0.87138,4.1476,0.074907,0.8125,2.2273,4.4375,0.64271,1.8076,0
2566,0.81231,0.23105,1.3992,0.18769,2860.9,0.12758,1.2311,0.066042,0.11738,2.2948,1.6704,0.47829,3.0719,0
2570,0.79714,0.25448,2.7922,0.20286,1340.8,0.27223,1.2545,0.19778,0.27223,0.92701,3.2606,0.41781,5.588,0
2573,0.65608,0.44761,1.0302,0.29367,-11125.0,-0.03281,1.5242,-0.11823,-0.057923,-0.63033,-0.18021,2.8892,5.3261,0
2574,0.70118,0.42617,0.76781,0.29882,2946.7,0.12387,1.4262,0.043842,0.11767,0.98226,1.0285,0.43767,1.0994,0
2576,0.63322,0.57923,1.1025,0.36678,2479.4,0.14721,1.5792,0.093487,0.14721,1.7782,1.5931,0.7123,1.8714,0
2580,0.63404,0.5772,1.3854,0.36596,2181.5,0.16732,1.5772,0.078961,0.14929,3.2257,2.0468,1.2901,2.4325,0
2584,0.54806,0.82463,1.4757,0.45194,1155.1,0.31599,1.8246,0.0025747,0.31599,0.059457,1.7314,2.3438,3.7012,0
2585,0.71834,0.3921,1.3809,0.28166,-4107.7,-0.088858,1.3921,0.0,-0.088858,0.0,1.7626,0.75396,2.8642,0
2586,0.61661,0.62176,0.60156,0.38339,3528.6,0.10344,1.6218,0.02493,0.10113,1.0285,0.95598,1.2905,0.83851,0
2588,0.44893,1.2275,0.94154,0.55107,1344.9,0.27139,2.2275,0.076028,0.26726,5.1915,2.0546,0.67488,1.3825,0
2590,0.34529,1.5696,1.0502,0.54198,1391.6,0.26229,2.8961,0.039084,0.22849,0.36084,0.11319,0.91744,2.3107,0
2595,0.6885,0.44903,1.0594,0.30916,1754.5,0.20803,1.4524,0.083059,0.19407,0.56275,0.12064,0.72772,2.3732,0
2596,0.70451,0.35896,1.0337,0.25289,2445.1,0.14928,1.4194,0.081348,0.1365,0.35952,0.11547,0.41272,4.958,0
2597,0.39273,1.5463,1.3538,0.60727,734.6,0.49687,2.5463,0.13862,0.41569,5.5324,3.0857,1.4978,2.8549,0
2598,0.53451,0.87087,1.2857,0.46549,-16008.0,-0.022801,1.8709,0.0,-0.022801,0.0,2.0421,0.60366,2.3845,0
2601,0.35013,1.8561,1.445,0.64987,945.04,0.38623,2.8561,0.080515,0.34751,5.1921,3.8977,0.89424,2.8288,0
2603,1.0306,-0.029714,1.9318,-0.030624,3639.7,0.10028,0.97029,0.0,0.10028,0.0,1.3984,0.2284,8.1307,0
2604,0.59736,0.67402,0.97747,0.40264,1615.0,0.22601,1.674,0.08641,0.21649,1.4558,1.4901,0.69168,1.6295,0
2605,0.85287,0.17252,1.9585,0.14713,1711.2,0.2133,1.1725,0.10083,0.2133,9.3054,2.1973,0.52291,3.4675,0
2606,1.0728,-0.06785,0.52385,-0.072789,-5405.9,-0.067519,0.93215,0.0,-0.067519,0.0,0.37432,0.37781,0.64757,0
2607,0.76889,0.30057,0.57845,0.23111,-3774.3,-0.096707,1.3006,0.0,-0.096707,0.0,0.69386,0.15252,0.81527,0
2608,0.36397,1.7475,1.8599,0.63603,718.06,0.50832,2.7475,0.15523,0.41918,15.053,4.688,1.1403,4.1401,0
2609,0.4657,1.0168,1.0679,0.47353,1003.2,0.36385,2.1473,0.15866,0.30628,1.0662,0.3407,0.6353,3.3379,0
2610,0.34077,1.9345,3.8942,0.65923,393.18,0.92832,2.9345,0.29878,0.75878,11.206,10.531,1.3814,14.909,0
2616,0.56194,0.77954,1.7364,0.43806,850.56,0.42913,1.7795,0.089019,0.37625,4.7682,2.8095,0.73109,4.4245,0
2619,0.28341,2.4896,1.1785,0.70558,621.3,0.58748,3.5284,0.12367,0.59564,4.6048,3.712,0.93229,1.6905,0
2625,0.66123,0.50886,1.0228,0.33647,912.36,0.40006,1.5123,0.10246,0.3692,0.46101,0.15496,0.53166,4.4834,0
2626,0.20552,3.8658,2.0892,0.79448,185.59,1.9667,4.8658,0.26233,1.9667,40.705,8.8226,2.1253,5.6434,0
2627,0.66511,0.439,0.9996,0.29199,3408.7,0.10708,1.5035,0.026505,0.099817,0.18133,0.03985,1.0011,3.4246,0
2629,0.80578,0.24104,0.89711,0.19422,1595.2,0.22882,1.241,0.19998,0.19212,3.2164,0.96819,0.65267,1.6963,0
2630,1.3596,-0.26449,1.7257,-0.35961,18317.0,0.019927,0.73551,0.10345,0.019927,0.75967,1.2007,0.47842,5.8839,0
2635,0.57614,0.73569,1.9834,0.42386,3558.6,0.10257,1.7357,0.033607,0.10257,1.78,3.3842,0.72656,4.5508,0
2637,0.20061,3.9848,1.1512,0.79939,213.73,1.7078,4.9848,0.3227,1.403,10.515,4.1201,2.8226,2.3522,0
2638,0.54565,0.83269,0.86342,0.45435,1774.3,0.20571,1.8327,0.017158,0.19189,0.55045,1.5361,1.3295,1.6263,0
2643,0.70472,0.41902,0.88254,0.29529,-5092.8,-0.07167,1.419,-0.086261,-0.058352,-1.3471,-0.1224,0.17278,0.68953,0
2648,0.83763,0.14141,1.0159,0.11845,5862.3,0.062262,1.1938,0.033491,0.060725,0.18116,0.039982,0.55395,4.3145,0
2649,0.38116,1.6236,0.73824,0.61884,4845.3,0.075331,2.6236,0.0091546,0.073882,1.498,1.9088,0.27101,0.96572,0
2651,0.44178,1.2636,1.9347,0.55822,390.52,0.93464,2.2636,0.38216,0.93464,126.48,3.5128,1.6728,6.6332,0
2656,0.50058,0.90649,1.1191,0.45376,1577.0,0.23145,1.9977,0.10285,0.19191,0.86359,0.20546,0.74981,2.811,0
2657,0.50578,0.97713,1.1163,0.49422,4064.5,0.089802,1.9771,0.0,0.089802,0.0,1.5264,1.3178,2.8252,0
2661,0.84294,0.18633,1.7265,0.15706,5381.0,0.067832,1.1863,0.070127,0.054068,1.6582,1.9476,0.51249,3.0432,0
2664,0.16418,4.6268,1.107,0.75962,244.28,1.4942,6.0909,0.11089,1.3398,1.1336,0.6754,2.3119,2.1807,0
2666,0.61789,0.61842,1.5858,0.38211,1003.5,0.36371,1.6184,0.071782,0.34011,5.2049,2.4891,0.097333,2.1918,0
2669,0.19402,4.1541,0.73553,0.80598,872.34,0.41841,5.1541,0.028065,0.39542,2.8029,3.202,1.781,1.2226,0
2670,0.5743,0.74126,1.8925,0.4257,5157.0,0.070778,1.7413,4.5433e-05,0.070778,0.050874,2.8227,0.73387,3.4155,0
2675,0.70986,0.40873,0.98895,0.29014,8137.6,0.044854,1.4087,0.027207,0.046222,0.19961,1.3509,1.0576,1.7803,0
2679,0.58578,0.70713,1.9598,0.41422,1228.4,0.29714,1.7071,0.15491,0.24958,5.4701,3.0994,0.91974,3.4702,0
2680,0.59741,0.61306,1.0283,0.36625,2098.5,0.17393,1.6739,0.060619,0.14962,0.28886,0.10147,0.51354,4.4704,0
2681,0.75822,0.31888,1.4365,0.24178,1064.2,0.34299,1.3189,0.25442,0.29444,4.9356,1.5572,1.1852,7.3343,0
2686,0.81836,0.22195,4.718,0.18164,4301.0,0.084864,1.222,0.12547,0.06894,1.8197,5.6083,0.85818,90.6,0
2688,0.46325,1.0056,1.0605,0.46585,3107.8,0.11745,2.1587,0.057275,0.10247,0.55162,0.12364,0.75517,1.8111,0
2691,0.89879,0.11261,1.0487,0.10121,3299.3,0.11063,1.1126,0.07706,0.10515,1.2861,1.0819,0.34837,1.8358,0
2692,0.96779,0.018203,0.99619,0.017617,-2708.2,-0.13477,1.0333,-0.049438,-0.13381,-0.29915,-0.051084,0.28805,2.6868,0
2697,0.74469,0.30224,1.0407,0.22508,3462.6,0.10541,1.3428,0.049099,0.095909,0.35411,0.065932,0.50513,2.2891,0
2698,0.85753,0.16615,1.3578,0.14247,-2761.5,-0.13218,1.1661,0.077946,-0.11284,0.33512,1.4591,0.25895,2.118,0
2700,0.7404,0.34168,1.4041,0.25298,4687.2,0.077871,1.3506,0.046073,0.077871,1.3875,1.8262,0.58969,3.1279,0
2701,0.33697,1.8447,1.1148,0.6216,840.19,0.43443,2.9676,0.078741,0.37615,0.88661,0.23367,0.89312,1.9106,0
2702,0.20306,3.6654,1.0356,0.74428,294.88,1.2378,4.9247,0.17648,1.0555,1.0509,0.86911,1.9259,2.9823,0
2703,0.52065,0.92067,1.5332,0.47935,474.75,0.76883,1.9207,0.0,0.76883,0.0,1.4588,0.50352,2.5509,0
2705,0.5705,0.75012,1.0366,0.42794,5658.3,0.064507,1.7528,0.027946,0.064507,0.33302,0.048984,0.48083,1.2824,0
2708,0.85918,0.1639,1.4371,0.14082,-12555.0,-0.029073,1.1639,0.074162,-0.031032,0.48533,1.587,0.23808,2.2061,0
2710,0.69768,0.42044,1.0603,0.29333,1706.4,0.2139,1.4333,0.070854,0.2139,0.57929,0.10156,0.17203,1.6766,0
2715,0.65112,0.53581,1.7299,0.34888,-11696.0,-0.031207,1.5358,0.045133,-0.041341,0.56069,2.6102,1.0716,32.058,0
2719,0.21531,3.3704,0.98065,0.72567,544.61,0.67021,4.6445,0.046929,0.63137,0.47894,0.21796,1.9926,1.551,0
2725,0.37399,1.6739,0.81445,0.62601,53729.0,0.0067934,2.6739,0.0,0.0067934,0.0,1.8708,1.0206,1.5272,0
2728,0.079285,7.6982,1.0206,0.61035,48.66,7.5011,12.613,0.5683,7.5011,11.605,7.1678,1.0441,0.61872,0
2729,0.4047,1.471,1.6262,0.5953,1272.8,0.28676,2.471,0.11239,0.23097,5.8528,3.8079,1.2916,5.2693,0
2732,0.51283,0.91937,1.1368,0.47148,805.12,0.45335,1.95,0.13046,0.41763,1.4648,0.25439,0.82193,1.5954,0
2734,0.42219,1.2752,1.0566,0.53838,1287.5,0.28349,2.3686,0.058476,0.25184,0.44668,0.13851,0.93908,3.1882,0
2736,0.64229,0.55692,1.2457,0.35771,2535.1,0.14398,1.5569,0.11036,0.11162,1.3013,1.9891,0.082796,1.7691,0
2738,0.65161,0.53466,1.1164,0.34839,3932.8,0.092809,1.5347,0.065776,0.093965,0.89981,0.10094,0.4867,1.0482,0
2739,0.34703,1.8816,2.4749,0.65297,1159.7,0.31475,2.8816,0.0,0.31475,0.0,6.1882,2.3449,6.5412,0
2741,0.2704,2.69,1.0552,0.72736,796.96,0.45799,3.6982,0.075533,0.41564,0.6566,0.27934,0.14092,1.4047,0
2742,0.54062,0.84974,2.9694,0.45938,1485.6,0.2457,1.8497,0.019183,0.22827,1.791,5.4572,0.79629,5.47,0
2743,1.1023,-0.092822,1.0598,-0.10232,4979.7,0.073298,0.90718,0.040911,0.071021,0.64709,0.037113,0.49933,0.90402,0
2746,0.63857,0.56599,1.7005,0.36143,2700.6,0.13515,1.566,0.082505,0.13515,1.0617,2.5562,0.49876,3.3415,0
2747,0.33766,1.6214,0.99178,0.54748,6208.2,0.058793,2.9615,-0.0063682,0.051437,-0.039079,-0.01886,0.83198,2.527,0
2748,0.78987,0.2602,0.9391,0.20553,-2727.2,-0.13384,1.266,-0.053143,-0.13473,-0.90882,-0.067281,0.53518,0.7332,0
2751,0.54687,0.78704,1.05,0.4304,1832.4,0.19919,1.8286,0.13844,0.17925,0.97277,0.25315,0.62562,2.4115,0
2753,0.44556,1.2442,1.0225,0.55437,1106.2,0.32995,2.2444,0.12336,0.27512,11.057,2.009,1.649,1.5077,0
2756,0.70773,0.41296,2.4276,0.29227,5220.3,0.069919,1.413,0.023097,0.067122,1.6678,3.405,0.72362,4.2235,0
2757,0.20264,3.9348,1.8771,0.79736,327.9,1.1131,4.9348,0.0,1.1131,0.0,6.6858,2.0422,3.0031,0
2763,0.1026,8.4352,1.0306,0.86543,782.75,0.46631,9.7468,0.0058527,0.4085,0.047814,0.057045,3.0943,1.9083,0
2765,0.63782,0.56752,5.5788,0.36198,900.2,0.40547,1.5678,0.21139,0.34541,17.983,8.497,0.79787,14.696,0
2766,0.63735,0.56899,2.0354,0.36265,1333.2,0.27378,1.569,0.0,0.27378,0.0,2.1244,0.70158,3.2655,0
2767,0.47224,1.0988,1.0191,0.51888,1372.1,0.26602,2.1176,0.056375,0.22799,0.19419,0.11938,0.54063,4.9229,0
2769,0.74923,0.33471,1.8485,0.25077,6840.5,0.053359,1.3347,0.02387,0.047547,2.611,2.4565,0.7974,5.5227,0
2770,0.55193,0.81182,1.3992,0.44807,1623.5,0.22482,1.8118,0.090339,0.19076,1.8193,2.3946,0.61053,2.0109,0
2771,0.58542,0.70818,1.3007,0.41458,9243.1,0.039489,1.7082,0.023608,0.0473,0.42501,2.1819,0.80916,2.6616,0
2773,0.38851,1.5739,0.83938,0.61149,-1749.1,-0.20868,2.5739,-0.21362,-0.20868,-46.303,2.7393,0.6778,1.1197,0
2775,0.90062,0.11035,1.6629,0.099385,2192.7,0.16646,1.1104,0.0,0.16646,0.0,1.2741,0.69795,4.3809,0
2776,0.91155,0.097027,1.5635,0.088446,2210.3,0.16514,1.097,0.021912,0.16514,1.3898,1.6832,0.42946,2.8696,0
2781,0.18439,4.4234,1.4493,0.81561,273.25,1.3358,5.4234,0.17271,1.3358,12.345,7.0181,1.242,2.3534,0
2782,0.16149,5.1924,1.9992,0.83851,102.96,3.5451,6.1924,0.31265,3.5451,53.788,10.633,4.4022,4.5173,0
2785,0.6984,0.43184,1.4386,0.3016,1441.3,0.25325,1.4318,0.14693,0.25325,3.9106,1.9031,0.90627,2.8379,0
2787,0.75623,0.32234,2.1132,0.24377,4613.7,0.079113,1.3223,0.034449,0.079113,1.0079,2.7476,0.54817,5.0554,0
2791,0.48634,1.0562,2.8573,0.51366,976.28,0.37387,2.0562,0.11698,0.33686,4.133,5.6313,2.9397,7.2508,0
2792,0.7612,0.31371,2.1421,0.2388,3241.5,0.1126,1.3137,0.080917,0.094175,3.4242,2.6964,0.46398,5.2651,0
2796,0.55519,0.79831,1.0807,0.44321,915.73,0.39859,1.8012,0.17647,0.3444,0.88496,0.31785,0.33682,6.9891,0
2798,0.68156,0.46745,1.9796,0.3186,1242.7,0.29372,1.4672,0.20287,0.29395,4.431,2.6203,0.8265,3.0353,0
2805,0.16788,3.4352,0.90957,0.57669,351.68,1.0379,5.9567,0.105,1.0379,1.1863,0.62548,0.58869,1.2944,0
2812,0.61688,0.62107,1.9538,0.38312,1743.8,0.20931,1.6211,0.056891,0.20261,3.3717,3.119,0.88401,3.8094,0
2813,0.45636,1.1912,4.0306,0.54364,378.71,0.96381,2.1912,0.36148,0.79979,1976.9,8.1085,5.6676,12.531,0
2814,0.33262,2.0064,0.68114,0.66738,2358.9,0.15473,3.0064,0.017001,0.15027,2.0193,1.6869,0.75652,0.92126,0
2816,0.6859,0.45794,1.726,0.3141,1771.4,0.20605,1.4579,0.099285,0.17336,10.991,2.359,0.6428,3.2669,0
2818,0.65022,0.47381,1.1811,0.30808,1967.3,0.18553,1.5379,0.12776,0.15699,1.7683,0.19648,0.2624,1.1059,0
2821,0.45679,0.98223,1.0479,0.44867,1155.4,0.31591,2.1892,0.083298,0.26917,0.43612,0.18236,0.98114,8.0138,0
2822,0.56349,0.77465,2.6814,0.43651,1436.8,0.25403,1.7746,0.060226,0.23403,6.9831,4.6886,1.3403,7.0393,0
2823,0.73067,0.36862,1.2842,0.26933,2519.1,0.14489,1.3686,0.086983,0.12758,1.9148,1.6553,0.66704,2.8476,0
2824,0.42521,1.1942,1.3472,0.50779,345.25,1.0572,2.3518,0.46654,0.87099,3.3818,1.0972,2.2034,9.1534,0
2827,0.48023,1.0823,4.1177,0.51977,1555.7,0.23462,2.0823,0.048769,0.21301,2.9167,8.4281,2.7801,95.042,0
2829,0.77267,0.29422,1.9092,0.22733,2848.8,0.12813,1.2942,0.0,0.12813,0.0,2.1031,0.18698,2.7581,0
2831,0.64205,0.5224,1.0921,0.33541,2086.0,0.17498,1.5575,0.073335,0.15799,0.90786,0.11422,0.51489,1.1551,0
2833,0.96377,0.037593,1.3782,0.036231,-11986.0,-0.030451,1.0376,0.021712,-0.035738,0.30063,1.462,0.90355,2.5726,0
2835,0.54295,0.84179,0.88234,0.45705,1337.1,0.27299,1.8418,0.074314,0.24306,4.7728,1.5028,0.92308,1.6315,0
2836,0.6368,0.57035,1.2441,0.3632,10965.0,0.033287,1.5703,0.0,0.033287,0.0,1.7479,0.42982,2.4908,0
2838,0.46054,0.90162,1.063,0.41523,905.92,0.40291,2.1714,0.18904,0.34697,0.97734,0.41047,0.57024,3.5942,0
2839,0.49053,1.0072,0.98835,0.49408,7657.0,0.047669,2.0386,-0.023563,0.059009,-0.28596,-0.048036,0.38114,1.3294,0
2841,0.18894,4.241,0.9054,0.80128,-45772.0,-0.0079744,5.2927,-0.0013691,-0.0079744,-0.94597,-0.0072462,1.4966,0.023142,0
2842,0.65894,0.51758,1.034,0.34106,2581.2,0.14141,1.5176,0.0,0.14141,0.0,1.1061,0.62729,1.4164,0
2843,0.22299,3.4845,1.1205,0.77701,580.42,0.62885,4.4845,0.0,0.62885,0.0,3.3707,1.8191,2.0655,0
2844,0.35831,1.7908,2.0006,0.64169,736.11,0.49585,2.7908,0.0,0.49585,0.0,3.8897,2.5577,12.229,0
2845,0.71961,0.38964,0.30307,0.28039,35525.0,0.010274,1.3896,0.0089133,0.011158,0.77015,0.40196,0.3194,0.41372,0
2846,0.8697,0.14982,0.84218,0.1303,4939.8,0.073889,1.1498,0.073487,0.062153,2.9087,0.88377,0.44933,1.5477,0
2850,0.2678,2.7342,2.132,0.7322,1109.0,0.32914,3.7342,0.0,0.32914,0.0,6.3188,2.1609,7.321,0
2852,0.81194,0.23161,1.3662,0.18806,-14306.0,-0.025514,1.2316,0.051165,-0.038995,0.52304,1.6319,0.81275,3.5073,0
2853,0.47869,1.0464,1.0307,0.50089,1076.5,0.33905,2.089,0.094256,0.30774,0.3466,0.1969,0.82355,6.8854,0
2854,0.42085,1.2476,1.0008,0.52507,1683.5,0.21681,2.3761,0.017449,0.20926,0.090297,0.041461,0.526,5.2996,0
2855,0.14488,5.9022,1.6788,0.85512,104.12,3.5057,6.9022,0.44732,3.5057,43.21,8.5242,0.57778,3.5186,0
2857,0.50039,0.99844,2.121,0.49961,1367.9,0.26683,1.9984,0.03874,0.26683,6.6043,4.1178,1.0973,6.1143,0
2858,0.95813,0.043695,1.5717,0.041866,5814.7,0.062772,1.0437,0.058646,0.061571,1.0229,1.5986,0.30181,2.8053,0
2860,0.3826,1.6137,1.9256,0.61741,417.97,0.87327,2.6137,0.27158,0.87327,18.745,4.4784,1.8701,6.6563,0
2862,0.83254,0.20114,0.43811,0.16746,5445.0,0.067034,1.2011,0.043889,0.067034,2.3772,0.47387,0.16207,0.48241,0
2863,0.73067,0.36861,1.997,0.26933,2907.1,0.12556,1.3686,0.062061,0.12556,1.2692,2.6706,0.65328,3.8126,0
